branch,target_nm,radius_nm,environment_charge_e,effective_enclosed_charge_e,water_charge_e,ion_charge_e,ligand_charge_e
probe_0p5nm,0.500000,2.170000,-0.804169825,0.195830175,-0.712762891,-0.059405941,-0.032000993
probe_0p5nm,0.500000,2.190000,-1.054528569,-0.054528569,-0.901039881,-0.118811881,-0.034676806
probe_0p5nm,0.500000,2.210000,-0.820139126,0.179860874,-0.605176040,-0.188118812,-0.026844275
probe_0p5nm,0.500000,2.230000,-1.447017378,-0.447017378,-1.250697149,-0.178217822,-0.018102408
probe_0p5nm,0.500000,2.250000,-1.717362909,-0.717362909,-1.486043386,-0.198019802,-0.033299720
probe_0p5nm,0.500000,2.270000,-1.027666629,-0.027666629,-0.780004673,-0.207920792,-0.039741163
probe_0p5nm,0.500000,2.290000,-1.227481426,-0.227481426,-0.934660772,-0.247524752,-0.045295902
probe_0p5nm,0.500000,2.310000,-1.878341630,-0.878341630,-1.647423663,-0.227722772,-0.003195194
probe_0p5nm,0.500000,2.330000,-0.965386057,0.034613943,-0.739659604,-0.217821782,-0.007904671
probe_0p5nm,0.500000,2.350000,-1.140480012,-0.140480012,-0.934660772,-0.207920792,0.002101552
probe_0p5nm,0.500000,2.370000,0.170822551,1.170822551,0.396726515,-0.227722772,0.001818808
probe_0p5nm,0.500000,2.390000,-0.583014847,0.416985153,-0.342933089,-0.237623762,-0.002457995
probe_0p5nm,0.500000,2.410000,-0.844758123,0.155241877,-0.571555149,-0.237623762,-0.035579212
probe_0p5nm,0.500000,2.430000,-2.020205928,-1.020205928,-1.694492911,-0.277227723,-0.048485294
probe_0p5nm,0.500000,2.450000,-1.571565354,-0.571565354,-1.230524614,-0.277227723,-0.063813017
probe_0p5nm,0.500000,2.470000,-1.894696760,-0.894696760,-1.674320376,-0.188118812,-0.032257571
probe_0p5nm,0.500000,2.490000,-1.124290929,-0.124290929,-0.914488238,-0.168316832,-0.041485860
probe_1p0nm,1.000000,0.010000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000
probe_1p0nm,1.000000,0.030000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000
probe_1p0nm,1.000000,0.050000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000
probe_1p0nm,1.000000,0.070000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000
probe_1p0nm,1.000000,0.090000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000
probe_1p0nm,1.000000,0.110000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000
probe_1p0nm,1.000000,0.130000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000
probe_1p0nm,1.000000,0.150000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000
probe_1p0nm,1.000000,0.170000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000
probe_1p0nm,1.000000,0.190000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000
probe_1p0nm,1.000000,0.210000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000
probe_1p0nm,1.000000,0.230000,-0.504313366,0.495686634,-0.504313366,0.000000000,0.000000000
probe_1p0nm,1.000000,0.250000,-4.659855505,-3.659855505,-4.659855505,0.000000000,0.000000000
probe_1p0nm,1.000000,0.270000,-5.271385168,-4.271385168,-5.251583188,-0.019801980,0.000000000
probe_1p0nm,1.000000,0.290000,-2.863017703,-1.863017703,-2.783809782,-0.079207921,0.000000000
probe_1p0nm,1.000000,0.310000,-0.794406515,0.205593485,-0.665693644,-0.128712871,0.000000000
probe_1p0nm,1.000000,0.330000,0.194047683,1.194047683,0.322760554,-0.128712871,0.000000000
probe_1p0nm,1.000000,0.350000,0.651291802,1.651291802,0.780004673,-0.128712871,0.000000000
probe_1p0nm,1.000000,0.370000,0.950332455,1.950332455,1.069144337,-0.118811881,0.000000000
probe_1p0nm,1.000000,0.390000,1.029910931,2.029910931,1.089316871,-0.059405941,0.000000000
probe_1p0nm,1.000000,0.410000,0.346480455,1.346480455,0.356381446,-0.009900990,0.000000000
probe_1p0nm,1.000000,0.430000,-0.662887386,0.337112614,-0.692590356,0.029702970,0.000000000
probe_1p0nm,1.000000,0.450000,-2.182922218,-1.182922218,-2.232427168,0.049504950,0.000000000
probe_1p0nm,1.000000,0.470000,-2.815365525,-1.815365525,-2.884672455,0.069306931,0.000000000
probe_1p0nm,1.000000,0.490000,-2.895685109,-1.895685109,-2.945190059,0.049504950,0.000000000
probe_1p0nm,1.000000,0.510000,-2.259694436,-1.259694436,-2.279496416,0.019801980,0.000000000
probe_1p0nm,1.000000,0.530000,-1.130032495,-0.130032495,-1.149834475,0.019801980,0.000000000
probe_1p0nm,1.000000,0.550000,-0.386825525,0.613174475,-0.396726515,0.009900990,0.000000000
probe_1p0nm,1.000000,0.570000,0.251600851,1.251600851,0.221897881,0.029702970,0.000000000
probe_1p0nm,1.000000,0.590000,0.043151327,1.043151327,0.013448356,0.029702970,0.000000000
probe_1p0nm,1.000000,0.610000,-0.251971406,0.748028594,-0.242070416,-0.009900990,0.000000000
probe_1p0nm,1.000000,0.630000,-0.928307149,0.071692851,-0.948109129,0.019801980,0.000000000
probe_1p0nm,1.000000,0.650000,-0.928307149,0.071692851,-0.948109129,0.019801980,0.000000000
probe_1p0nm,1.000000,0.670000,-0.780375228,0.219624772,-0.800177208,0.019801980,0.000000000
probe_1p0nm,1.000000,0.690000,-1.398258515,-0.398258515,-1.378456535,-0.019801980,0.000000000
probe_1p0nm,1.000000,0.710000,-1.586535505,-0.586535505,-1.566733525,-0.019801980,0.000000000
probe_1p0nm,1.000000,0.730000,-1.354366079,-0.354366079,-1.324663109,-0.029702970,0.000000000
probe_1p0nm,1.000000,0.750000,-0.453326198,0.546673802,-0.423623228,-0.029702970,0.000000000
probe_1p0nm,1.000000,0.770000,-0.523744792,0.476255208,-0.484140832,-0.039603960,0.000000000
probe_1p0nm,1.000000,0.790000,-0.873031505,0.126968495,-0.813625564,-0.059405941,0.000000000
probe_1p0nm,1.000000,0.810000,-0.681948257,0.318051743,-0.652245287,-0.029702970,0.000000000
probe_1p0nm,1.000000,0.830000,-1.125744020,-0.125744020,-1.096041050,-0.029702970,0.000000000
probe_1p0nm,1.000000,0.850000,-1.148352257,-0.148352257,-1.069144337,-0.079207921,0.000000000
probe_1p0nm,1.000000,0.870000,-1.238943386,-0.238943386,-1.149834475,-0.089108911,0.000000000
probe_1p0nm,1.000000,0.890000,-1.144434337,-0.144434337,-1.035523446,-0.108910891,0.000000000
probe_1p0nm,1.000000,0.910000,-1.214482376,-0.214482376,-1.075868515,-0.138613861,0.000000000
probe_1p0nm,1.000000,0.930000,-1.533325010,-0.533325010,-1.365008178,-0.168316832,0.000000000
probe_1p0nm,1.000000,0.950000,-0.614918851,0.385081149,-0.416899050,-0.198019802,0.000000000
probe_1p0nm,1.000000,0.970000,-0.829722000,0.170278000,-0.611900218,-0.217821782,0.000000000
probe_1p0nm,1.000000,0.990000,-0.741566574,0.258433426,-0.484140832,-0.257425743,0.000000000
probe_1p0nm,1.000000,1.010000,-0.465875267,0.534124733,-0.208449525,-0.257425743,0.000000000
probe_1p0nm,1.000000,1.030000,-0.479694178,0.520305822,-0.242070416,-0.237623762,0.000000000
probe_1p0nm,1.000000,1.050000,-1.703494614,-0.703494614,-1.465870851,-0.237623762,0.000000000
