branch,target_nm,radius_nm,delta_environment_charge_e,delta_water_charge_e,delta_ion_charge_e,delta_ligand_charge_e
probe_1p0nm,1.0,0.19,0.0,0.0,0.0,0.0
probe_1p0nm,1.0,0.21,0.0,0.0,0.0,0.0
probe_1p0nm,1.0,0.23,0.07396596099999997,0.07396596099999997,0.0,0.0
probe_1p0nm,1.0,0.25,0.2218978809999994,0.2218978809999994,0.0,0.0
probe_1p0nm,1.0,0.27,-0.07359540599999992,-0.05379342599999948,-0.01980198,0.0
probe_1p0nm,1.0,0.29,-0.25403655400000025,-0.17482863300000018,-0.079207921,0.0
probe_1p0nm,1.0,0.31,-0.19277784200000003,-0.07396596099999997,-0.11881188100000001,0.0
probe_1p0nm,1.0,0.33,-0.25684281200000003,-0.14793192100000002,-0.10891089100000001,0.0
probe_1p0nm,1.0,0.35,-0.324084594,-0.21517370300000005,-0.10891089100000001,0.0
probe_1p0nm,1.0,0.37,-0.018319763000000044,0.080690139,-0.099009901,0.0
probe_1p0nm,1.0,0.39,0.1791171090000001,0.2286220590000001,-0.049504951,0.0
probe_1p0nm,1.0,0.41,0.22226843500000001,0.242070416,-0.01980198,0.0
probe_1p0nm,1.0,0.43,0.339015168,0.309312198,0.02970297,0.0
probe_1p0nm,1.0,0.45,0.12701827700000035,0.08741431699999991,0.03960396,0.0
probe_1p0nm,1.0,0.47,-0.18621184199999963,-0.25551877199999984,0.069306931,0.0
probe_1p0nm,1.0,0.49,-0.4987008519999998,-0.5581067920000002,0.05940594,0.0
probe_1p0nm,1.0,0.51,-0.23963471300000005,-0.28913966400000013,0.04950495,0.0
probe_1p0nm,1.0,0.53,0.24095875299999991,0.18155281200000006,0.059405940000000004,0.0
probe_1p0nm,1.0,0.55,0.09975100999999997,0.04034506900000001,0.05940594,0.0
probe_1p0nm,1.0,0.57,0.17578211800000001,0.04706924699999998,0.128712871,0.0
probe_1p0nm,1.0,0.59,0.188859921,0.040345069,0.148514851,0.0
probe_1p0nm,1.0,0.61,0.27738590100000005,0.18827698999999998,0.089108911,0.0
