z_nm,rho_mean_e_per_nm3,rho_2ns_block_sd_e_per_nm3,phi_mean_mV_relative_to_bulk,phi_2ns_block_sd_mV,E_mean_V_per_m,exponential_fit_mV
1.405000000000000071e+01,1.346740564908388005e-01,2.512425490994254496e-01,2.317030908441153514e+01,2.254235655914463621e+02,2.589755078430797160e+07,-8.114527582548116413e+01
1.415000000000000213e+01,-1.388730919933689190e-01,2.727130371585574919e-01,2.077050922010448275e+01,2.147104082362589565e+02,2.209844650183244050e+07,-8.122805349573545186e+01
1.425000000000000000e+01,1.217290868082864796e-01,2.839037213422622163e-01,1.933622199826623245e+01,2.133359605380249207e+02,6.587297934933170676e+06,-8.130919205829812313e+01
1.435000000000000142e+01,-1.536681399971752127e-01,2.074157626330766224e-01,2.012234535825307802e+01,2.053075186105888577e+02,-2.230976513467115164e+07,-8.138872396967607870e+01
1.444999999999999929e+01,5.197126819145879428e-03,2.897562090850775429e-01,2.906982690779646816e+01,1.983924104504573052e+02,-1.566398658561961651e+08,-8.146668104369427965e+01
1.455000000000000071e+01,1.546671197591181768e-01,3.464199675674518586e-01,3.750190341044279307e+01,1.962533087147785409e+02,-1.200166419673097134e+07,-8.154309446422182361e+01
1.465000000000000213e+01,-1.102480856106657914e-01,2.030344879432226246e-01,3.669264953877604540e+01,1.942853861086098561e+02,2.818674163006669283e+07,-8.161799479764573562e+01
1.475000000000000000e+01,-3.255975127978814193e-02,1.953261368859971203e-01,4.033429065977544781e+01,1.949590302171648375e+02,-1.010195640500547439e+08,-8.169141200509808698e+01
1.485000000000000142e+01,5.259645062383008773e-02,1.024463915201207637e-01,4.952983045745818202e+01,1.941110147174176745e+02,-8.289123190359936655e+07,-8.176337545444079069e+01
1.494999999999999929e+01,2.120958813776249990e-03,8.001596880322019156e-02,5.534365730422774732e+01,1.916237364278271968e+02,-3.338530503179256245e+07,-8.183391393201307551e+01
1.505000000000000071e+01,1.322296345301832710e-01,1.293243544053249150e-01,5.260445978845346104e+01,1.907709205747824512e+02,8.816925534727923572e+07,-8.190305565414649891e+01
1.515000000000000213e+01,-1.074963533638358670e-01,2.187331207402784528e-01,4.266865452119977675e+01,1.929539690309983655e+02,1.105468499977944493e+08,-8.197082827845183317e+01
1.525000000000000000e+01,4.649244691100676979e-02,3.642590762176897701e-01,3.437365328824049016e+01,1.966845573601680428e+02,5.535317466139103472e+07,-8.203725891488242894e+01
1.535000000000000142e+01,-1.271978946230257167e-02,1.022940291227287801e-01,2.731053440834052637e+01,1.942213683397901889e+02,8.590920293660815060e+07,-8.210237413657863215e+01
1.544999999999999929e+01,-1.931186486551821901e-01,8.380907444731336420e-02,2.803129641980683928e+01,1.865217551912190572e+02,-1.003244431659349501e+08,-8.216619999049731859e+01
1.555000000000000071e+01,1.181318244863114458e-01,2.320504521962281352e-01,4.145598122421645115e+01,1.813464387378048173e+02,-1.681692529222564399e+08,-8.222876200783109368e+01
