u_fraction,v_fraction,rotation_deg,best_height_A,best_LJ_kJmol,best_Coulomb_kJmol,best_total_kJmol
0.4,0.0,15.0,3.2999999999999994,-99.5576442725542,0.03921063070457409,-99.51843364184963
0.4,0.0,30.0,3.349999999999999,-98.70379503623602,-0.030094467484694132,-98.7338895037207
0.4,0.0,45.0,3.2999999999999994,-99.55248396023869,0.04382125774070156,-99.50866270249799
0.4,0.0,60.0,3.2999999999999994,-99.94134459511278,-0.05101921135074816,-99.99236380646353
0.4,0.2,0.0,3.2999999999999994,-99.9753845773732,-0.06144424825371564,-100.03682882562693
0.4,0.2,15.0,3.2999999999999994,-99.83975901794034,-0.009137679802333931,-99.84889669774267
0.4,0.2,30.0,3.2999999999999994,-99.52740111657315,-0.029742707582666394,-99.55714382415582
0.4,0.2,45.0,3.2999999999999994,-99.87704454979422,-0.02108375331443524,-99.89812830310865
0.4,0.2,60.0,3.2999999999999994,-99.98986460052612,-0.0662721647977782,-100.0561367653239
0.4,0.4,0.0,3.2999999999999994,-99.94533922740594,-0.053068426052698126,-99.99840765345864
0.4,0.4,15.0,3.2999999999999994,-100.07065266095792,-0.052884994039997135,-100.12353765499792
0.4,0.4,30.0,3.2999999999999994,-100.4230327287547,-0.036100482587593685,-100.4591332113423
0.4,0.4,45.0,3.2999999999999994,-100.1831876074409,-0.09130620216352758,-100.27449380960442
0.4,0.4,60.0,3.2999999999999994,-99.99282570221018,-0.06804488050884627,-100.06087058271903
0.4,0.6000000000000001,0.0,3.2999999999999994,-99.90746208940595,-0.039281283975964865,-99.94674337338192
0.4,0.6000000000000001,15.0,3.2999999999999994,-99.92417450189325,-0.031364061754586725,-99.95553856364783
0.4,0.6000000000000001,30.0,3.2999999999999994,-100.08514594717218,-0.039593314964960324,-100.12473926213714
0.4,0.6000000000000001,45.0,3.2999999999999994,-100.03633680510876,-0.06934065712052861,-100.1056774622293
0.4,0.6000000000000001,60.0,3.2999999999999994,-99.95283952479068,-0.0546448451376107,-100.00748436992829
0.4,0.8,0.0,3.2999999999999994,-99.90793836023823,-0.03904616392093763,-99.94698452415918
0.4,0.8,15.0,3.2999999999999994,-99.60682962203812,0.025300805984290964,-99.58152881605383
0.4,0.8,30.0,3.349999999999999,-98.98420696813355,-0.03583184493819003,-99.02003881307174
0.4,0.8,45.0,3.2999999999999994,-99.64645052894943,0.013887585107849265,-99.63256294384158
0.4,0.8,60.0,3.2999999999999994,-99.91959740118364,-0.04438384853612609,-99.96398124971977
0.6000000000000001,0.0,0.0,3.2999999999999994,-99.94627627913245,-0.052359362943645404,-99.9986356420761
0.6000000000000001,0.0,15.0,3.2999999999999994,-99.55816663986057,0.03901795854076484,-99.5191486813198
0.6000000000000001,0.0,30.0,3.349999999999999,-98.70362804380059,-0.030276806301155812,-98.73390485010175
0.6000000000000001,0.0,45.0,3.2999999999999994,-99.55261099347955,0.04370838168953606,-99.50890261179
0.6000000000000001,0.0,60.0,3.2999999999999994,-99.9405077707681,-0.051225904269422085,-99.99173367503751
0.6000000000000001,0.2,0.0,3.2999999999999994,-99.90711794571494,-0.038774046108165816,-99.9458919918231
0.6000000000000001,0.2,15.0,3.2999999999999994,-99.60677588133986,0.02568792492812877,-99.58108795641172
0.6000000000000001,0.2,30.0,3.349999999999999,-98.98435837668632,-0.03555018383102526,-99.01990856051734
0.6000000000000001,0.2,45.0,3.2999999999999994,-99.64562952716972,0.01416092753287268,-99.63146859963685
0.6000000000000001,0.2,60.0,3.2999999999999994,-99.92087531675112,-0.04415656010701019,-99.96503187685813
