time_ps,pyrene_height_nm,lateral_displacement_nm,lateral_x_nm,lateral_y_nm,path_length_nm,tilt_deg
260.000,0.35572219,0.47367485,-0.37210945,-0.29309115,9.56288414,5.059157
261.000,0.34682002,0.46652494,-0.29395295,-0.36226673,9.66725703,1.962540
262.000,0.34721173,0.42751934,-0.32057167,-0.28285437,9.75101191,2.441200
263.000,0.34335217,0.51041642,-0.29380137,-0.41737953,9.88817484,2.936450
264.000,0.33966390,0.47408038,-0.28771334,-0.37679337,9.92921507,4.194279
265.000,0.32610551,0.43622557,-0.24919338,-0.35804386,9.97205584,4.975908
266.000,0.33655940,0.45646567,-0.27533842,-0.36407371,9.99888721,3.947692
267.000,0.34691263,0.46349830,-0.28646902,-0.36437093,10.01002178,5.231619
268.000,0.34603472,0.47251006,-0.29859374,-0.36620696,10.02228473,2.407128
269.000,0.32336412,0.52208682,-0.32758462,-0.40652548,10.07194411,1.343046
270.000,0.32576246,0.56288701,-0.31009092,-0.46977166,10.13756506,1.346248
271.000,0.33389823,0.54306333,-0.32577475,-0.43449810,10.17616826,6.445733
272.000,0.33623024,0.68003194,-0.33596188,-0.59124703,10.33324788,5.269869
273.000,0.33221645,0.70071665,-0.40151920,-0.57427011,10.40096773,3.953442
274.000,0.34859703,0.76473131,-0.44890682,-0.61910956,10.46620700,4.626730
275.000,0.33140996,0.72914789,-0.50601837,-0.52497815,10.57630901,6.268196
276.000,0.33362371,0.65180174,-0.39001291,-0.52224078,10.69234675,0.741513
277.000,0.32566819,0.60260579,-0.30260835,-0.52111604,10.77975856,1.363723
278.000,0.34910606,0.58529674,-0.28280259,-0.51244022,10.80138119,8.168949
279.000,0.32296036,0.59186242,-0.30038053,-0.50997319,10.81913140,2.572453
280.000,0.30072832,0.60362443,-0.33382487,-0.50291491,10.85331244,3.197574
281.000,0.34433928,0.58450125,-0.30044818,-0.50137073,10.88672484,3.899179
282.000,0.33651530,0.68859101,-0.30484761,-0.61743462,11.00287208,2.347270
283.000,0.31688885,0.64004708,-0.34302968,-0.54036182,11.08888422,4.376719
284.000,0.33666221,0.59544933,-0.30445765,-0.51172791,11.13692278,1.657058
285.000,0.34732240,0.77331470,-0.41045626,-0.65539399,11.31546031,2.864300
286.000,0.33186067,0.75793984,-0.40002576,-0.64377962,11.33107086,4.138105
287.000,0.34300714,0.73437801,-0.35150267,-0.64479216,11.37960451,1.305363
288.000,0.34128844,0.74911745,-0.34823558,-0.66325631,11.39835547,3.214428
289.000,0.34672147,0.70434736,-0.37421892,-0.59671216,11.46979257,1.624617
290.000,0.33750110,0.71837105,-0.36606196,-0.61810647,11.49268913,4.676213
291.000,0.33078988,0.66347912,-0.33161656,-0.57466077,11.54813293,6.356903
292.000,0.33130957,0.69106677,-0.33378164,-0.60511411,11.57866314,4.017418
293.000,0.33415597,0.59873141,-0.26148090,-0.53861586,11.67689458,5.924469
294.000,0.35045191,0.66052285,-0.30033381,-0.58829417,11.73996187,8.363278
295.000,0.33984326,0.63497252,-0.26217449,-0.57832053,11.77940305,3.545084
296.000,0.34053468,0.65776994,-0.32815325,-0.57006731,11.84589599,4.623215
297.000,0.34276938,0.65855905,-0.33331940,-0.56797729,11.85146891,3.801997
298.000,0.34096699,0.73065163,-0.35045805,-0.64111696,11.92658978,3.048574
299.000,0.30884416,0.64666742,-0.36922154,-0.53089943,12.03839306,1.637694
300.000,0.32460708,0.48492213,-0.28551028,-0.39196091,12.20060122,3.734391
301.000,0.33998001,0.52803327,-0.35786917,-0.38826382,12.27305450,0.900051
302.000,0.31923555,0.48020477,-0.33816549,-0.34094094,12.32431550,6.453546
303.000,0.33054176,0.51108213,-0.36367251,-0.35909225,12.35562171,2.527936
304.000,0.32854606,0.46629390,-0.34320454,-0.31565907,12.40363607,3.191384
305.000,0.33866912,0.52005622,-0.36868614,-0.36678196,12.46075753,0.857978
306.000,0.33503883,0.61504284,-0.43839274,-0.43138093,12.55579456,2.631580
307.000,0.32976850,0.53548680,-0.39628416,-0.36014577,12.63854467,0.869532
308.000,0.33444402,0.58081063,-0.42439719,-0.39651988,12.68451660,4.139667
309.000,0.34486977,0.52757437,-0.37011666,-0.37596326,12.74255927,3.112567
310.000,0.33941060,0.55894155,-0.34641985,-0.43864443,12.80957022,4.100452
311.000,0.34705199,0.48875855,-0.28184540,-0.39930952,12.88518170,2.152042
312.000,0.33574855,0.48682349,-0.30737858,-0.37751228,12.91875345,2.729863
313.000,0.33532507,0.52753215,-0.35241328,-0.39254942,12.96623229,0.975183
314.000,0.33416925,0.48610758,-0.33490367,-0.35233523,13.01009307,0.689554
315.000,0.34106905,0.52002216,-0.34948291,-0.38507758,13.04593461,3.778490
316.000,0.34356474,0.44764339,-0.30977209,-0.32314991,13.11950082,2.925296
317.000,0.31892768,0.46367768,-0.29580156,-0.35706922,13.15618454,8.335244
318.000,0.33273646,0.44801162,-0.30681422,-0.32646508,13.18870979,3.750245
319.000,0.33458824,0.44932973,-0.34829237,-0.28388312,13.24815439,2.801419
320.000,0.32233084,0.47885905,-0.39134431,-0.27596307,13.29192878,4.121841
321.000,0.31525552,0.48614315,-0.40536352,-0.26835718,13.30787831,4.166451
322.000,0.32102779,0.49969518,-0.44082427,-0.23530668,13.35635305,3.471247
323.000,0.33025709,0.53842012,-0.47788004,-0.24804614,13.39553754,4.947676
324.000,0.33563018,0.50547561,-0.42568228,-0.27258061,13.45321376,3.920315
325.000,0.34772432,0.55927250,-0.48166114,-0.28423278,13.51039248,7.244351
326.000,0.31149749,0.56499369,-0.50218587,-0.25889617,13.54299935,1.367735
327.000,0.33482370,0.55797171,-0.44880156,-0.33152616,13.63313813,4.602024
328.000,0.34822864,0.49362587,-0.41416268,-0.26858103,13.70498478,5.188860
329.000,0.34599541,0.65403586,-0.54100212,-0.36753178,13.86585583,7.866615
330.000,0.33481611,0.66320632,-0.50868662,-0.42553560,13.93225414,9.861469
331.000,0.33930803,0.71461466,-0.54555732,-0.46156400,13.98380503,7.320433
332.000,0.36454877,0.71413754,-0.48879657,-0.52064415,14.06573333,5.887129
